Item Id,SKU,Medium,Bristle Material,Brush Shape,Brand,Size,Handle Type,Handmade,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Model,
"265735866067","GDNBR285","","Ox","","Gordon Brush","","","","0742-00037","","","","","","","",
"255581266346","GDNBR286","","Ox","","Gordon Brush","","","","0742-00050","","","","","","","",
"265735799061","GDNBR287","","Ox","","Gordon Brush","24","","","0742-00062","","","","","","","",
"255580997700","GDNBR288","","Ox","","Gordon Brush","24","","","0742-00075","","","","","","","",
"255581051425","GDNBR289","","Ox","","Gordon Brush","24","","","0742-01000","","","","","","","",
"255580965370","GDNBR290","","Camel","","Gordon Brush","","","","0762-00037","","","","","","","",
"265735773449","GDNBR291","","Camel","","Gordon Brush","","","","0762-00050","","","","","","","",
"265735626763","GDNBR292","","Camel","","Gordon Brush","","","","0762-00062","","","","","","","",
"255580956188","GDNBR293","","Camel","","Gordon Brush","24","","","0762-00075","","","","","","","",
"265735944295","GDNBR294","","Camel","","Gordon Brush","24","","","0762-01000","","","","","","","",
"255581189790","GDNBR295","","Camel","Mop","Gordon Brush","12","","","0762-01025","","","","","","","",
"255581112893","GDNBR296","","Sable","","Gordon Brush","","","","0767-02000","","","","","","","",
"255581036155","GDNBR297","","Sable","","Gordon Brush","","","","0767-04000","","","","","","","",
"265735951208","GDNBR298","","Sable","","Gordon Brush","","","","0767-06000","","","","","","","",
"255580980412","GDNBR299","","Sable","","Gordon Brush","24","","","0767-08000","","","","","","","",
"265735837127","GDNBR300","","Sable","","Gordon Brush","24","","","0767-10000","","","","","","","",
"255581263728","GDNBR302","","Red Sable","Round","Gordon Brush","12","","","0770-00200","","","","","","","",
"255581140364","GDNBR308","","Red Sable","","Gordon Brush","24","","","0770-05000","","","","","","","",
"265735942396","GDNBR310","","Red Sable","","Gordon Brush","24","","","0770-07000","","","","","","","",
"265735676244","GDNBR311","","Red Sable","","Gordon Brush","12","","","0770-08000","","","","","","","",
"255580947514","GDNBR312","","Red Sable","","Gordon Brush","12","","","0770-09000","","","","","","","",
"255581181432","GDNBR319","","Camel","Flat","Gordon Brush","24","","","0780-00062","","","","","","","",
"255580979562","GDNBR321","","Camel","Flat","Gordon Brush","24","","","0780-01000","","","","","","","",
"265735838569","GDNBR330","","Camel","","Gordon Brush","12","","","0790-01000","","","","","","","",
"265735938219","GDNBR331","","Camel","","Gordon Brush","12","","","0790-01050","","","","","","","",
"265735841924","GDNBR358","","","Round","Gordon Brush","","","","0866-03000","","","","","","","",
"265735823898","GDNBR359","","","Round","Gordon Brush","","","","0866-04000","","","","","","","",
"265735949255","GDNBR360","","","Round","Gordon Brush","24","","","0866-05000","","","","","","","",
"255580974645","GDNBR361","","","Round","Gordon Brush","24","","","0866-06000","","","","","","","",
"265735816585","GDNBR362","","","Round","Gordon Brush","24","","","0866-08000","","","","","","","",
"255581136066","GDNBR363","","","Round","Gordon Brush","24","","","0866-10000","","","","","","","",
"255581245263","GDNBR364","","","","Gordon Brush","","","","0867-00000","","","","","","","",
"265735867968","GDNBR365","","","","Gordon Brush","","","","0867-01000","","","","","","","",
"265735731902","GDNBR366","","","","Gordon Brush","","","","0867-02000","","","","","","","",
"265735751410","GDNBR367","","","","Gordon Brush","","","","0867-04000","","","","","","","",
"255580965093","GDNBR368","","","","Gordon Brush","24","","","0867-06000","","","","","","","",
"255580973698","GDNBR369","","","","Gordon Brush","24","","","0867-08000","","","","","","","",
"255581032597","GDNBR370","","","","Gordon Brush","24","","","0867-10000","","","","","","","",
"255581289712","GDNBR371","","","","Gordon Brush","24","","","0867-12000","","","","","","","",
"255580994792","GDNBR372","","","","Gordon Brush","12","","","0867-14000","","","","","","","",
"265735870133","GDNBR373","","","","Gordon Brush","12","","","0867-16000","","","","","","","",
"265735810172","GDNBR374","","","","Gordon Brush","12","","","0867-18000","","","","","","","",
"255581049184","GDNBR375","","","","Gordon Brush","12","","","0867-20000","","","","","","","",
"255581265882","GDNBR384","","","","Gordon Brush","","","","0869-00000","","","","","","","",
"255581177792","GDNBR385","","","","Gordon Brush","","","","0869-02000","","","","","","","",
"265735747361","GDNBR386","","","","Gordon Brush","24","","","0869-04000","","","","","","","",
"265735686260","GDNBR387","","","","Gordon Brush","24","","","0869-06000","","","","","","","",
"255581215331","GDNBR388","","","","Gordon Brush","24","","","0869-08000","","","","","","","",
"265735688315","GDNBR389","","Red Sable","","Gordon Brush","","","","0901-00000","","","","","","","",
"265735863853","GDNBR390","","Red Sable","","Gordon Brush","","","","0901-00200","","","","","","","",
"265735690382","GDNBR391","","Red Sable","","Gordon Brush","","","","0901-00300","","","","","","","",
"255581226925","GDNBR392","","Red Sable","","Gordon Brush","","","","0901-01000","","","","","","","",
