Item Id,SKU,Type,Brand,Scent,Features,Shape,Size,Theme,Color,Material,Number in Pack,Style,Power Source,Room,Country/Region of Manufacture,Personalize,Item Length,Battery Type,Item Width,Item Height,Item Weight,Handmade,MPN,Model,Burning Time,Custom Bundle,Customized,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"255725096133","JECO5339","Decor","Jeco","Orange","","","","","Orange","","3","","","","","","","","","","","","CFZ-050_12","","","","","","","",
"255513152434","JECO4497","Decor","Jeco","Orange","","","","","Orange","","3","","","","","","","","","","","","CFZ-050_12_0","","","","","","","",
"255513574774","JECO5338","Decor","Jeco","","","","","","Red","","3","","","","","","","","","","","","CFZ-051_12","","","","","","","",
"265669062606","JECO4500","Decor","Jeco","","","","","","Red","","3","","","","","","","","","","","","CFZ-051_12_0","","","","","","","",
"255509881342","JECO4741","Decor","Jeco","","","","","","Red","","3","","","","","","","","","","","","CFZ-051_6","","","","","","","",
"265669337766","JECO5337","Decor","Jeco","","","","","","Red","","3","","","","","","","","","","","","CFZ-052_12","","","","","","","",
"255509809044","JECO4858","Decor","Jeco","","","","","","Red","","3","","","","","","","","","","","","CFZ-052_6","","","","","","","",
"265897075605","JECO4506","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-053_12_0","","","","","","","",
"265695105641","JECO5336","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-054_12","","","","","","","",
"265674126422","JECO4509","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-054_12_0","","","","","","","",
"255489119366","JECO4856","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-054_6","","","","","","","",
"255513399838","JECO5073","Decor","Jeco","","","","","","Blue","","3","","","","","","","","","","","","CFZ-055_12","","","","","","","",
"265669038033","JECO4512","Decor","Jeco","","","","","","Blue","","3","","","","","","","","","","","","CFZ-055_12_0","","","","","","","",
"265695211879","JECO5335","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-056_12","","","","","","","",
"255509813162","JECO4515","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-056_12_0","","","","","","","",
"255509684679","JECO4853","Decor","Jeco","","","","","","Blue","","3","","","","","","","","","","","","CFZ-057_6","","","","","","","",
"265887627262","JECO5077","Decor","Jeco","","","","","","Blue","","3","","","","","","","","","","","","CFZ-058_12","","","","","","","",
"255737883978","JECO4521","Decor","Jeco","","","","","","Blue","","3","","","","","","","","","","","","CFZ-058_12_0","","","","","","","",
"265883882308","JECO5346","Decor","Jeco","","","","","","Green","","3","","","","","","","","","","","","CFZ-059_12","","","","","","","",
"265884217555","JECO4524","Decor","Jeco","","","","","","Green","","3","","","","","","","","","","","","CFZ-059_12_0","","","","","","","",
"265897100999","JECO4893","Decor","Jeco","","","","","","Green","","3","","","","","","","","","","","","CFZ-060_12","","","","","","","",
"265665258441","JECO4527","Decor","Jeco","","","","","","Green","","3","","","","","","","","","","","","CFZ-060_12_0","","","","","","","",
"265684879720","JECO5332","Decor","Jeco","Lavender","","","","","","","3","","","","","","","","","","","","CFZ-061_12","","","","","","","",
"265690535041","JECO4530","Decor","Jeco","Lavender","","","","","","","3","","","","","","","","","","","","CFZ-061_12_0","","","","","","","",
