Item Id,SKU,Color,Size,Brand,Type,Weave,Regional Design,Shape,Material,Production Technique,Room,Style,Pattern,Theme,Features,Pile Height,Country/Region of Manufacture,Item Width,Care Instructions,Pile Type,Department,Handmade,Personalize,Personalized,Era,Item Length,Time Period Manufactured,Original/Reproduction,Item Thickness,MPN,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"265698047566","ZX9GTMY11028","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1550631","","","","","",
"255528853257","ZX9GTMY9832","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552461","","","","","",
"265680101376","ZX9GTMY10518","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554663","","","","","",
"255523980080","ZX9GTMY11018","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554689","","","","","",
"255509834264","ZX9GTMY9696","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1624665","","","","","",
"255489057277","ZX9GTMY10498","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1556995","","","","","",
"255518080940","ZX9GTMY9821","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552460","","","","","",
"265684699749","ZX9GTMY9759","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1559117","","","","","",
"255528846521","ZX9GTMY10456","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554659","","","","","",
"255541769182","ZX9GTMY9769","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1542453","","","","","",
"255509950053","ZX9GTMY9666","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1556962","","","","","",
"255529041456","ZX9GTMY11440","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1557020","","","","","",
"255513063148","ZX9GTMY10974","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1538972","","","","","",
"255544461514","ZX9GTMY10508","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1556628","","","","","",
"255529050963","ZX9GTMY14300","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1557113","","","","","",
"265684639839","ZX9GTMY11418","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1556840","","","","","",
"255518112242","ZX9GTMY11472","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1556846","","","","","",
"255509703662","ZX9GTMY10985","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554686","","","","","",
"255541686891","ZX9GTMY9780","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552455","","","","","",
"255509700697","ZX9GTMY10996","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552283","","","","","",
"265695156106","ZX9GTMY11007","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1555500","","","","","",
"255509651964","ZX9GTMY10932","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552276","","","","","",
"265665310074","ZX9GTMY10943","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1553312","","","","","",
"255541650701","ZX9GTMY9727","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552449","","","","","",
"265695147166","ZX9GTMY11461","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552313","","","","","",
"255509950624","ZX9GTMY9748","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1542450","","","","","",
"265665400541","ZX9GTMY11038","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1553318","","","","","",
"265695113022","ZX9GTMY10529","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554665","","","","","",
"255488906199","ZX9GTMY9800","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554843","","","","","",
"265669445855","ZX9GTMY10477","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554335","","","","","",
"265695283120","ZX9GTMY9686","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552445","","","","","",
"265697790475","ZX9GTMY10487","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1556993","","","","","",
"255513328850","ZX9GTMY13108","","","Micasa","Area Rugs","","","Rectangle","","Woven","","Contemporary","","","","","","","","","","","","","","","","","","MI1556891","","","","","",
"255524163559","ZX9GTMY9637","","","Micasa","Area Rugs","","","Rectangle","","Woven","","Contemporary","","","","","","","","","","","","","","","","","","MI1554827","","","","","",
"255539093587","ZX9GTMY9567","","","Micasa","Area Rugs","","","Rectangle","","Woven","","Contemporary","","","","","","","","","","","","","","","","","","MI1554821","","","","","",
"255524039008","ZX9GTMY11536","","","Micasa","Area Rugs","","","Rectangle","","Woven","","","Floral","","","","","","","","","","","","","","","","","MI1556849","","","","","",
"255518216563","ZX9GTMY11495","","","Micasa","Area Rugs","","","Rectangle","","Woven","","","Floral","","","","","","","","","","","","","","","","","MI1552317","","","","","",
"265644755023","ZX9GTMY9546","","","Micasa","Rugs","","","Rectangle","","Woven","","","","","","","","","","","","","","","","","","","","MI1552435","","","","","",
